version,scope,target_table,old_name,new_name
v5.3,object,BIDDAYOFFER,BIDDAYOFFER_LCHD_IDX,BIDDAYOFFER_LCHD_IDX_PRE53
v5.3,object,BIDDAYOFFER,BIDDAYOFFER_PART_IDX,BIDDAYOFFER_PART_IDX_PRE53
v5.3,object,BIDDAYOFFER,BIDDAYOFFER_PK,BIDDAYOFFER_PK_PRE53
v5.3,object,BIDDAYOFFER_D,BIDDAYOFFER_D_LCHD_IDX,BIDDAYOFFER_D_LCHD_IDX_PRE53
v5.3,object,BIDDAYOFFER_D,BIDDAYOFFER_D_PART_IDX,BIDDAYOFFER_D_PART_IDX_PRE53
v5.3,object,BIDDAYOFFER_D,BIDDAYOFFER_D_PK,BIDDAYOFFER_D_PK_PRE53
v5.3,object,BIDOFFERPERIOD,BIDOFFERPERIOD_PK,BIDOFFERPERIOD_PK_PRE53
v5.3,object,BIDPEROFFER_D,BIDPEROFFER_D_LCHD_IDX,BIDPEROFFER_D_LCHD_IDX_PRE53
v5.3,object,BIDPEROFFER_D,BIDPEROFFER_D_PK,BIDPEROFFER_D_PK_PRE53
v5.3,table,,BIDDAYOFFER,BIDDAYOFFER_PRE53
v5.3,table,,BIDDAYOFFER_D,BIDDAYOFFER_D_PRE53
v5.3,table,,BIDOFFERPERIOD,BIDOFFERPERIOD_PRE53
v5.3,table,,BIDPEROFFER_D,BIDPEROFFER_D_PRE53
v5.3_PreRelease,object,BIDDAYOFFER_D,BIDDAYOFFER_D_LCHD_IDX,BIDDAYOFFER_D_LCHD_IDX_PRE53
v5.3_PreRelease,object,BIDDAYOFFER_D,BIDDAYOFFER_D_PART_IDX,BIDDAYOFFER_D_PART_IDX_PRE53
v5.3_PreRelease,object,BIDDAYOFFER_D,BIDDAYOFFER_D_PK,BIDDAYOFFER_D_PK_PRE53
v5.3_PreRelease,object,BIDPEROFFER_D,BIDPEROFFER_D_LCHD_IDX,BIDPEROFFER_D_LCHD_IDX_PRE53
v5.3_PreRelease,object,BIDPEROFFER_D,BIDPEROFFER_D_PK,BIDPEROFFER_D_PK_PRE53
v5.3_PreRelease,table,,BIDDAYOFFER_D,BIDDAYOFFER_D_PRE53
v5.3_PreRelease,table,,BIDPEROFFER_D,BIDPEROFFER_D_PRE53
v5.5,column,FPP_FCAS_SUMMARY,USAGE,USAGE_VALUE
v5.5,column,FPP_USAGE,USAGE,USAGE_VALUE
